id,id_filme,data_retirada,data_devolucao
141,10,01/04/2023,08/04/2023
142,5,15/04/2023,22/04/2023
143,5,01/05/2023,08/05/2023
144,45,10/05/2023,17/05/2023
145,45,01/06/2023,08/06/2023
146,200,15/06/2023,22/06/2023
147,200,01/07/2023,08/07/2023
148,1,10/07/2023,17/07/2023
149,1,01/08/2023,08/08/2023
150,120,15/08/2023,22/08/2023
151,120,01/09/2023,08/09/2023
152,88,10/09/2023,17/09/2023
153,88,01/10/2023,08/10/2023
154,7,15/10/2023,22/10/2023
155,7,01/11/2023,08/11/2023
156,19,10/11/2023,17/11/2023
157,19,01/12/2023,08/12/2023
158,55,15/12/2023,22/12/2023
159,55,05/01/2024,12/01/2024
160,11,15/01/2024,22/01/2024
